40.668897,-73.932942
40.669399,-73.942161
40.669847,-73.950466
40.669922,-73.951706
40.670083,-73.954713
40.670096,-73.954983
40.670118,-73.955258
40.670157,-73.955542
40.670208,-73.955823
40.670682,-73.958131
40.671987,-73.964375
40.672915,-73.968465
40.672955,-73.968631
40.672999,-73.968779
40.673056,-73.968947
40.673121,-73.969088
40.673208,-73.969259
40.673299,-73.969397
40.673414,-73.969546
40.673552,-73.969694
40.673679,-73.969806
40.675235,-73.971046
40.680829,-73.975098
40.684359,-73.977666
40.685781,-73.978708
40.688246,-73.980492
40.688475,-73.980654
40.688533,-73.980697
